[2025-07-19 12:47:11,786: INFO: main: Welcome to our custom logging data science]
[2025-07-19 16:27:41,932: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:27:41,944: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:27:41,946: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:28:42,819: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:28:42,824: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:28:42,828: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:28:42,831: INFO: common: created directory at: artifacts]
[2025-07-19 16:28:42,833: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 16:31:50,864: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:31:50,866: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:31:50,870: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:31:50,872: INFO: common: created directory at: artifacts]
[2025-07-19 16:31:50,875: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 16:35:57,068: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:35:57,070: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:35:57,072: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:35:57,075: INFO: common: created directory at: artifacts]
[2025-07-19 16:35:57,078: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 16:35:57,080: INFO: 3427144374: File alreday exists]
[2025-07-19 16:36:12,060: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:36:12,063: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:36:12,065: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:36:12,067: INFO: common: created directory at: artifacts]
[2025-07-19 16:36:12,070: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 16:36:12,071: INFO: 3427144374: File alreday exists]
[2025-07-19 16:39:30,523: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 16:39:30,527: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 16:39:30,530: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 16:39:30,549: INFO: common: created directory at: artifacts]
[2025-07-19 16:39:30,551: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 19:53:40,735: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-07-19 19:53:40,737: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-19 19:53:40,738: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-19 19:53:40,738: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-07-19 19:53:40,739: INFO: common: created directory at: artifacts]
[2025-07-19 19:53:40,739: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-19 19:53:40,739: INFO: data_ingestion: File alreday exists]
